pm_10,Date,pm_25
26.308333333333334,2010-12-04,24.774479236979165
19.183333333333334,2010-12-05,18.17031240958333
37.72916666666666,2010-12-06,35.107291569895835
55.49895833333333,2010-12-07,50.72343754739583
57.37916666666666,2010-12-08,53.871354202604174
21.129166666666663,2010-12-09,15.873437541041667
33.87083333333333,2010-12-10,27.906770914791664
31.15416666666667,2010-12-11,26.743750035833333
19.2,2010-12-12,13.428993091180557
25.204166666666666,2010-12-13,18.658854170659723
23.27083333333333,2010-12-14,18.7437500109375
25.508333333333336,2010-12-15,20.57187495166667
21.254166666666663,2010-12-16,18.597048464722224
19.7375,2010-12-17,15.995833302395832
20.175,2010-12-18,18.191666623125
20.4875,2010-12-19,19.2703125228125
36.141666666666666,2010-12-20,34.2312500678125
35.734375,2010-12-21,32.191666603229166
54.22083333333333,2010-12-22,48.48177077416667
30.617708333333336,2010-12-23,30.003819402430555
12.595833333333331,2010-12-24,11.447395791666668
23.79583333333333,2010-12-25,19.851562554375
37.94583333333333,2010-12-26,34.553125073541665
18.93125,2010-12-27,19.724826372291663
23.876041666666666,2010-12-28,23.38177094184028
36.84166666666667,2010-12-29,36.53489591708333
32.125,2010-12-30,31.847916811875
54.3,2010-12-31,52.62395856802083
49.00833333333333,2011-01-01,41.68906241625
17.258333333333333,2011-01-02,14.759895846145833
32.92395833333333,2011-01-03,29.979687393125
29.85,2011-01-04,28.2786459525
25.258333333333336,2011-01-05,23.63177075020833
11.105208333333332,2011-01-06,11.347395822083334
17.453125,2011-01-07,16.03437501197917
11.191666666666668,2011-01-08,9.31093753
19.1625,2011-01-09,15.534895842395834
23.855208333333334,2011-01-10,19.8739584434375
15.85625,2011-01-11,13.593229169895832
14.783333333333331,2011-01-12,12.430208305833332
6.966666666666666,2011-01-13,7.122916662604166
11.06597222222222,2011-01-14,7.495312498993055
15.564583333333331,2011-01-15,8.057812496979166
13.983333333333334,2011-01-16,10.803645863958332
26.428125,2011-01-17,19.51302083333333
24.7375,2011-01-18,17.631250013854167
30.870833333333334,2011-01-19,19.4640624128125
19.99895833333333,2011-01-20,10.412152757326387
37.81875,2011-01-21,30.9557291465625
20.60833333333333,2011-01-22,13.785937503020833
24.50625,2011-01-23,16.108854075625
23.70520833333333,2011-01-24,13.0864582959375
24.60625,2011-01-25,19.865624934375003
24.929166666666664,2011-01-26,16.64947917541667
30.144791666666663,2011-01-27,23.9401041765625
32.645833333333336,2011-01-28,24.32361115322917
53.84166666666667,2011-01-29,49.87604159083333
66.78750000000001,2011-01-30,64.772916575
61.91666666666666,2011-01-31,55.18802086520833
74.4875,2011-02-01,61.73697936510416
37.04583333333333,2011-02-02,32.75121529861111
37.0875,2011-02-03,26.81093754704861
19.060416666666665,2011-02-04,11.19357641847222
12.002083333333331,2011-02-05,6.954166679375
12.70625,2011-02-06,8.0213541753125
26.63958333333333,2011-02-07,17.079166645833332
34.53333333333333,2011-02-08,20.00208340072917
48.708333333333336,2011-02-09,34.33281240885417
40.359375,2011-02-10,33.980208337291664
27.957291666666663,2011-02-11,21.348437435937495
33.38333333333333,2011-02-12,25.3567707934375
18.875,2011-02-13,11.94513886013889
33.1625,2011-02-14,22.317708313437503
21.995833333333334,2011-02-15,13.278124983923613
31.225,2011-02-16,16.218750024791667
47.5375,2011-02-17,36.64947909114584
71.81666666666666,2011-02-18,60.596874793333335
57.54166666666666,2011-02-19,51.66614556302083
57.4125,2011-02-20,53.754166523229166
50.2875,2011-02-21,45.08072924645833
57.50833333333333,2011-02-22,45.76562496052083
49.76979166666666,2011-02-23,40.60868065305556
37.2875,2011-02-24,30.105728984166664
35.170833333333334,2011-02-25,23.30520831201389
19.0,2011-02-26,16.77552086263889
18.5125,2011-02-27,9.736458385625
56.525,2011-02-28,50.61614548125
80.85000000000001,2011-03-01,74.49843796124999
97.275,2011-03-02,84.83628463756945
77.51805555555556,2011-03-03,66.9604168734375
86.8125,2011-03-04,72.48784691725695
43.00416666666666,2011-03-05,37.391666839375
23.816666666666663,2011-03-06,11.813541700208331
34.541666666666664,2011-03-07,17.646875076527778
53.45,2011-03-08,33.176562402222224
42.68333333333334,2011-03-09,31.42135424458333
25.1875,2011-03-10,15.380729208229168
32.93333333333333,2011-03-11,18.452083309583333
34.375,2011-03-12,24.577083408541668
13.254166666666668,2011-03-13,13.030208334479168
38.85833333333333,2011-03-14,33.273437470208336
49.49583333333334,2011-03-15,40.20677077791667
83.57083333333334,2011-03-16,67.12968758802084
62.040625,2011-03-17,51.671180559305554
61.41666666666666,2011-03-18,53.84427078541666
20.304166666666667,2011-03-19,17.07708336916667
37.329166666666666,2011-03-20,32.477083345208335
55.51979166666666,2011-03-21,37.98680565097222
73.49166666666666,2011-03-22,52.67187511895833
47.425,2011-03-23,31.44531253958333
51.07083333333333,2011-03-24,30.59166661916667
70.25416666666666,2011-03-25,51.04253470868056
33.8375,2011-03-26,27.075520923125
40.66666666666666,2011-03-27,35.8187500634375
41.84270833333333,2011-03-28,28.827083349270836
67.77187500000001,2011-03-29,45.71718764270833
38.47916666666666,2011-03-30,29.066145926354167
14.936458333333334,2011-03-31,12.16250002875
17.066666666666666,2011-04-01,12.4552083625
21.570833333333336,2011-04-02,15.396354162118056
19.503125,2011-04-03,15.384375025625
24.634375,2011-04-04,14.43715274840278
21.914583333333336,2011-04-05,13.109895879895832
28.066666666666663,2011-04-06,19.782812476145832
33.525,2011-04-07,24.578645850416667
42.645833333333336,2011-04-08,29.997916777916668
35.75,2011-04-09,22.26250003760417
26.8,2011-04-10,16.162500013854167
49.82916666666667,2011-04-11,27.800520896770838
20.876041666666666,2011-04-12,12.376215270902778
31.85,2011-04-13,20.219791631041662
39.07083333333333,2011-04-14,27.0562501053125
52.475,2011-04-15,36.36822921010417
43.32916666666667,2011-04-16,34.83593744052083
61.40833333333333,2011-04-17,51.97187495260417
46.16666666666666,2011-04-18,27.794791678645836
42.6375,2011-04-19,23.62812506145833
56.431250000000006,2011-04-20,31.73958335333333
49.90104166666666,2011-04-21,31.315104107187494
45.207608695652176,2011-04-22,27.33229157875
35.3125,2011-04-23,26.939062555520835
40.35416666666666,2011-04-24,30.594791709791664
45.3,2011-04-25,36.5656250121875
48.825,2011-04-26,30.98298600041667
40.59791666666667,2011-04-27,16.948263982569443
39.26041666666666,2011-04-28,32.6739583809375
47.020833333333336,2011-04-29,37.42361108399306
37.97083333333333,2011-04-30,26.430729150833333
25.054166666666664,2011-05-01,16.131249895104165
25.765625,2011-05-02,12.9234375009375
27.49513888888889,2011-05-03,13.686805470659722
28.527083333333334,2011-05-04,16.70190974729167
43.76666666666667,2011-05-05,25.24253484930556
42.69583333333333,2011-05-06,24.1593750615625
30.495833333333334,2011-05-07,19.339062541666667
20.460416666666667,2011-05-08,15.310937548541666
33.0125,2011-05-09,22.842708339270832
33.2875,2011-05-10,25.6145832440625
30.71666666666667,2011-05-11,20.159895946145834
29.540625,2011-05-12,18.40364588958333
31.152083333333334,2011-05-13,17.659027772083334
20.97395833333333,2011-05-14,13.115798590277777
17.619791666666668,2011-05-15,12.233333299791669
27.80208333333333,2011-05-16,15.373437513854164
26.0,2011-05-17,14.522916654895832
23.807291666666668,2011-05-18,13.360763864583332
28.359375,2011-05-19,20.93958338104167
45.62604166666667,2011-05-20,27.111979136875004
28.2125,2011-05-21,17.797916695416667
22.811111111111117,2011-05-22,12.468923611875
28.38333333333333,2011-05-23,12.884201420555556
23.429166666666664,2011-05-24,11.171874975104169
45.8625,2011-05-25,15.681770915416664
27.91145833333333,2011-05-26,11.147569478576388
20.915625,2011-05-27,14.409374942395834
21.816666666666663,2011-05-28,13.1505208659375
14.357291666666669,2011-05-29,9.715624986041666
22.92638888888889,2011-05-30,14.032986051736112
19.28645833333333,2011-05-31,14.2624999634375
24.152083333333334,2011-06-01,15.0512153534375
22.6875,2011-06-02,13.947916622291666
33.2625,2011-06-03,17.795833344270832
29.416666666666668,2011-06-04,19.715104251770835
28.433333333333334,2011-06-05,23.20208338875
25.715625,2011-06-06,19.519791722083333
23.987847222222225,2011-06-07,18.64010412020833
20.346875,2011-06-08,10.5630208128125
19.85833333333333,2011-06-09,9.2833333559375
21.771875,2011-06-10,12.719270845208332
14.32465277777778,2011-06-11,11.5520832590625
13.825,2011-06-12,11.208854195833334
10.395833333333334,2011-06-13,7.845312510833334
25.42083333333333,2011-06-14,17.252604146979166
26.64583333333333,2011-06-15,15.940104161875
16.41076388888889,2011-06-16,9.875520815416666
17.152083333333334,2011-06-17,9.7427083478125
12.167708333333332,2011-06-18,7.091493053541666
13.157291666666666,2011-06-19,8.174999976979167
13.003125,2011-06-20,9.156770847916668
14.2,2011-06-21,9.1114583340625
15.74340277777778,2011-06-22,8.473437537499999
17.026041666666668,2011-06-23,9.291666614479167
20.634375,2011-06-24,11.159027743645836
14.191666666666668,2011-06-25,9.4005208215625
20.475,2011-06-26,16.509374996041668
25.628125,2011-06-27,17.525520854444444
37.06736111111111,2011-06-28,25.63611111371528
26.820833333333336,2011-06-29,18.327430602118056
29.296875,2011-06-30,21.016840264583333
17.75,2011-07-01,12.573437507083334
14.141666666666666,2011-07-02,9.06597221048611
15.391666666666666,2011-07-03,11.56250003934028
26.24375,2011-07-04,14.880902717673612
36.5,2011-07-05,21.819270779791665
19.825,2011-07-06,12.644791635625
17.016666666666666,2011-07-07,9.60590275375
15.869791666666666,2011-07-08,9.077604174583334
12.65277777777778,2011-07-09,8.921875032083333
