o3_b011,o3_n043,o3_r001,o3_r012,o3_r701,o3_r710,o3_r801,o3_r811,o3_r831,o3_wol1
28.5,11.875,20.875,27.0,24.5,27.0,6.375,14.125,31.25,17.75
9.75,8.0,6.5,11.625,8.25,17.25,7.5,18.0,21.25,6.5
7.375,2.625,5.875,13.125,3.75,6.0,1.625,3.5,9.25,5.875
21.5,5.875,13.625,26.0,5.75,6.75,5.5,13.125,4.375,13.375
13.125,11.25,14.625,23.375,9.0,16.375,2.75,7.5,7.0,12.5
22.5,10.5,17.5,26.75,10.125,14.875,5.0,11.5,7.125,15.75
16.25,5.125,10.5,25.25,2.5,3.25,1.75,6.625,6.875,13.0
5.75,4.625,11.75,20.375,2.375,4.125,1.625,3.0,1.625,2.375
25.75,14.625,22.625,32.875,23.125,27.5,11.75,18.625,12.875,19.375
28.375,16.125,28.0,43.75,13.125,21.0,7.25,9.5,14.0,29.125
30.375,12.375,21.375,40.125,17.0,26.0,13.0,20.875,15.25,23.5
45.625,24.875,18.75,47.25,32.5,32.0,21.75,28.75,9.625,34.5
16.375,10.375,10.125,17.875,23.0,30.625,4.25,16.125,28.25,8.5
18.0,16.125,13.875,22.75,9.375,14.5,12.375,16.5,11.75,8.0
7.625,2.875,6.0,6.375,3.75,5.5,1.5,3.5,2.75,3.375
12.0,17.0,10.25,13.75,29.125,37.75,2.875,4.375,18.0,7.5
22.75,8.5,13.5,20.125,14.75,23.125,9.0,12.25,15.25,7.0
11.375,4.0,8.0,12.5,3.0,4.0,3.125,5.25,3.25,6.0
11.75,7.75,10.75,18.25,8.875,17.625,3.5,6.5,2.625,
31.875,24.375,27.375,37.625,24.0,31.375,14.375,25.5,21.875,
24.75,20.0,12.0,26.75,22.25,28.375,7.625,19.5,17.25,
2.25,2.125,2.875,4.625,1.5,1.625,1.125,5.625,5.125,
3.375,4.5,4.75,7.625,2.25,4.0,2.625,12.875,10.75,
2.0,2.5,2.75,3.875,2.625,3.0,1.0,2.375,1.75,
4.375,3.375,7.125,16.0,11.375,13.125,3.75,5.5,1.125,
31.0,17.125,21.375,32.25,28.875,34.125,15.875,19.125,29.0,8.25
53.375,34.125,37.0,52.25,48.375,55.875,32.75,44.5,41.5,32.75
55.625,39.625,44.25,56.0,42.375,53.375,31.375,41.125,51.75,35.25
